name,alternative_names,tea_type,cultivars,processing,oxidation_level,cultural_significance,cultural_significance_source,country_of_origin,subregions,avg_price_per_oz_usd,liquor_appearance,liquor_aroma,liquor_taste,liquor_body_mouthfeel,body_effect,dry_leaf_appearance,dry_leaf_aroma,wet_leaf_appearance,wet_leaf_aroma
Qi Lan,Rare Orchid,oolong,Qi Lan,,medium,A traditional Wuyi rock oolong cultivar documented in late‑Qing tea records. Valued for its orchid‑like fragrance and preserved through clonal propagation.,"Fujian Agriculture Press ""Wuyi Rock Tea Varietal Records"" (1999); Wuyi Tea Research Institute",China,"Fujian, Wuyi Mountains",,slightly cloudy; orange‑brown amber,fruity; woody; floral; pastry; toasted grain; maple walnut fudge; chocolate; peachy,slightly sweet; grilled nuts; spices; peach; malty; roasted grain,medium body; smooth; some astringency,refreshing,"medium, twisted, dark brown and green‑black leaves",woody; spicy; floral; fruity; pastry; roasted grain; maple walnut fudge,"glossy, olive-green and brown leaves",fruity; cooked peaches; pineapple; effervescent; cherry; wood
Sencha Ashikubo,,green,Yabukita; Saemidori; Okumidori,,low,,,Japan,"Shizuoka, Ashikubo",,cloudy; yellow,vegetal; sweet; toasted chestnuts,fruity; mango; kiwi; roasted corn; hazelnuts; sweet; vegetal; chestnuts; tropical,medium body,calming,"slightly longer, shiny, thin, deep‑green leaves",vegetal; sweet; fruity; pineapple; mango; kiwi; chestnut,"open, brighter green leaves",chestnut; vegetal; zesty
Sencha Isagawa,,green,Yabukita; Saemidori; Okumidori,,low,,,Japan,,,cloudy; neon yellow,grassy; classic sencha,grassy; vegetal; sweet; salty; marine,light‑to‑medium body,calming,"flat, shiny, green leaves",grassy; hay,"vibrant, lighter green leaves",sweet; grassy
Sencha Kyoto,,green,Yabukita; Saemidori; Okumidori,,low,,,Japan,"Kyoto, Uji",,verdant green; neon yellow,toast; green beans,clean; vegetal; lime; green beans; sour; tart,medium body; astringent,alerting,"small, flat, glossy, green leaves",vegetal; pear; almond; very sweet,deep green leaves,sweet; buttered toast; lime; banana bread; marine
Sencha Yabukita,,green,Yabukita,,low,,,Japan,,,cloudy; murky greenish yellow,clean; sweet; light; vegetal,rich; vegetal; clean; grassy; lightly sweet; green bean; snow peas,medium body,alerting; calming,"short, thin, flat, glossy, very dark forest‑green leaves",very sweet; vegetal; morning dew,leaves resemble chopped spinach,green bean; vegetal
Sheng Pu-erh,Raw Pu-erh / Pu'er / Puerh / Puer,puerh,Various,,,,,China,Yunnan,,various,various,various,various,various,various,various,various,various
Shou Mei,Shoumei; Longevity Eyebrow,white,Da Bai; Fuding Da Bai;  Zhenghe Da Bai ,,low,"Its name (""Longevity Eyebrow"") refers to the curved shape of the leaves and appears in early 20th‑century white‑tea classifications.",Fujian White Tea Standards; China White Tea Compendium,China,"Fujian, Fuding, Hulin",,"soft, golden antique yellow",sweet; pastry dough; citrus; orange; lime,lemon peel; vegetal; clean; sweet; citrus; tart; delicate; pastry dough; orange; lime; pine,light‑to‑medium body,calming; refreshing,"medium-sized brown leaves with white, downy buds",sweet; pastry dough; citrus; orange; lime,forest‑floor brown and green leaves,dried deciduous leaves; citrus
Shou Pu-erh,Ripe Pu-erh / Pu'er / Puerh / Puer,puerh,Various,,,,,China,Yunnan,,various,various,various,various,various,various,various,various,various
Shui Jin Gui,Golden Water Turtle,oolong,Shui Jin Gui,,medium,"One of the “Four Famous Bushes” of Wuyi rock tea; its name refers to the glossy, turtle‑shell‑like appearance of its leaves and its long cultivation history in Wuyishan.",Fujian Wuyi Tea Bureau; Wuyi Rock Tea Varietal Records,China,"Fujian, Wuyishan",,murky rich amber brown caramel; hazy tan amber with particles,buttery; sweet; honey; raspberries; toasted grain; apricot; roasted nectarines; peaches; lychee; tropical,complex; caramel; malty; honey; woody; raspberry; minerality; citrus; lightly sweet; fruity,medium‑to‑heavy body,calming,"broader, withered, yellow, olive, and blackish‑green leaves",roasted; sweet; effervescent; fruity; raisin; cherry; strawberry; pastry; nectarine; peach; lychee; tropical,"glossy, dark, olive green and mud-brown leaves",effervescent; sweet; honey; nectarine; dried cherry; fruity; nectarine; woody
Shui Xian Lao Cong,Water Sprite; Lao Cong Shui Xian,oolong,Shui Xian,,medium,"Shui Xian is a major Wuyi cultivar with centuries of history. Named after the narcissus flower (""Shui Xian"") whose elegant form and fragrance early Fujian growers felt the tea resembled. The English rendering ""Water Sprite"" comes from a poetic translation of the flower’s name. ""Lao Cong"" designates tea made from old deep‑rooted bushes prized for mineral richness.","Fujian Agriculture Press ""Wuyi Rock Tea Varietal Records"" (1999); Wuyi Tea Research Institute; China Tea Marketing Association",China,"Fujian, Wuyi Mountains",,clear; amber brown,"vegetal; grilled zucchini; strawberry; muscat grape; charred, grilled vegetables; nutty",woody; fruity; strawberry; lightly floral; char; nutty,medium body,calming,"large, twisted, brown leaves",fruity; sweet; nutty,brown and olive green leaves,peanut; strawberry
Si Ji Chun,Four Seasons Oolong; Four Seasons Spring; Tea of the Four Springs,oolong,Si Ji Chun,sun-withered; repeatedly rolled into tight balls; lightly roasted,low,A Taiwanese cultivar discovered in the 1980s. Named for its ability to produce fragrant leaves in all four seasons and central to Taiwan’s modern oolong industry.,Taiwan Tea Research and Extension Station; Nantou Tea Cooperative,Taiwan,Miaoli County; Nantou County,,bright golden to buttercup yellow; clear; vibrant,floral; lilac; osmanthus; buttery; spring flowers,floral; osmanthus; buttery; sweet; vegetal; pear; almond; vanilla; caramel,light-to-medium body; smooth,,tightly-rolled balls of multiple shades of green,floral; fresh; buttery; osmanthus; jasmine,deep green leaves with reddish-brown accents,floral; osmanthus; jasmine; almond; pear; honeydew
Tai Ping Hou Kui,Taiping Hou Kui; Monkey Chief; Monkey King,green,Jian Cha; Kui Jian,pressed flat between cloth; pan‑fired; charcoal roasted,low,Top 10 tea of China,,China,"Anhui, Huangshan",,cloudy; bright yellow,sweet; warm hay; lime; effervescent,lightly sweet; clover; lime zest; corn silk; mineral water; slightly vegetal; artichoke,light‑to‑medium body; effervescent,calming,"large, long, flat, green leaves with accents of other shades of green",effervescent; vegetal; fruity; spicy,light green leaves,fruity; vegetal; marine
Tan Huong,,green,LT,,low,,,Vietnam,Northern Hanoi,,bright yellow‑green; lime green,nutty; popcorn; vegetal; salty; sweet; basil; vanilla,sweet; vegetal; slightly marine; smoky; robust; salty; buttery; chestnut; woody; pastry,medium body,relaxed; soothed,"small, curled, twisted, dark, earthy-green leaves",nutty; peanut; vegetal; sweet; fruity; peach; marine; bread,unspecified,marine; vegetal; seaweed; smoky; fruity; chestnut
Taoyuan Da Ye Green Tea,Snow Dragon; Snow Dragon Green; Taoyuan Big Leaf Green; Hunan Snow Dragon,green,Taoyuan Da Ye,low‑heat pan roast,low,"A modern Hunan green tea whose export name ""Snow Dragon"" refers to the white down on its buds (""snow"") and the long, curling leaf shape (""dragon"").",Hunan Provincial Tea Research Institute; Taoyuan County Tea Records,China,Hunan,,soft golden yellow; partly cloudy,cocoa; nutty; buttery; effervescent; vegetal,sweet; vegetal; slightly smoky; nutty; toasty,light‑to‑medium body; creamy,calming,"medium, flat, green leaves with white and light‑green down",fresh hay; marine; crab,lighter yellow‑green leaves with red and brown accents,effervescent; slightly smoky; vegetal; floral; artichoke
Tian Mu Qing Ding,Heavenly Blue Peak,green,Tianmu Qunti Zhong,,low,"A Zhejiang green tea named for Tianmu Mountain, a historic Buddhist site. ""Qing Ding"" (""Blue Peak"") refers to the misty blue‑green mountain ridges where the tea was traditionally harvested.",Zhejiang Tea Gazetteer; Tianmu Mountain Cultural Heritage Bureau,China,"Zhejiang, Tianmu Mountains",,lime green,sweet; vegetal; pastry,sweet; vegetal; lime zest; clover,light‑to‑medium body,calming,"medium-sized flatter, withered, dark‑green leaves with light‑green accents",warm; toast; vegetal,light green leaves,vegetal; lime zest; clover
Tie Luo Han,Iron Arhat,oolong,Tie Luo Han,,medium,One of Wuyi’s “Four Famous Bushes”. Its name refers to a legendary Buddhist arhat whose strength and discipline inspired the tea’s name. The cultivar was said to originate near a cave associated with the figure.,"Fujian Wuyi Tea Bureau; Zhang ""China Tea Classic"" (2006)",China,"Fujian, Wuyi Mountains",,cloudy; dull cola‑brown,sweet; woody; caramel; brandy; butter,floral; sweet; woody; red currant; slightly tart,light‑to‑medium body; juicy,calming,"long, withered, dark brown to blackish‑green leaves",sweet; roasted grain; corn; fruity; red currant; nougat,"glossy, long, camo‑green and brown leaves",woody; red currant
Ujeon,Woojeon; Sparrow’s Tongue,green,Yabukita; Jangwon Jaecha,,low,,,South Korea,Jeju Island,,pale moonlight yellow; bright yellow,nutty; sweet; chestnuts,toasty; savory; nutty; chestnuts; grassy; sweet,effervescent,calming,"small, tightly curved, deep‑green leaves",fresh; invigorating; fruity; sweet; seaweed,uniform yellow-to-olive green leaves,nutty; buttered toast; asparagus
Ureshino Tamaryokucha,,green,Yabukita,tumbler‑dried,low,,,Japan,"Saga, Ureshino",,cloudy with sediment; lime‑green yellow,lime; mandarin orange; sweet; vegetal; seaweed; grass,salty; sweet; corn silk; bright; vegetal; sweetgrass,light‑to‑medium body; smooth,relaxing,"small, thin, jade‑green needles",strongly vegetal; sweet; fruity; pineapple,brighter green leaves,sweet; vegetal
Vert du Vietnam,Vietnamese Green Tea,green,LT; PH1; LDP1,,low,,,Vietnam,Thai Nguyen,,cloudy; vibrant golden yellow; earthy golden yellow,toasted grain; fennel; passionfruit; marine; crab; buttery,smoky; nutty; buttery; bittersweet; vegetal; marine; floral,medium body,calming,"slender, twisted, withered, jade‑green, gray-green, and yellow-green leaves",floral; slightly smoky; spicy; warm hay; complex,"long, dull, yellow‑green leaves",rich; vegetal; effervescent; sea air; fennel
Vietnamese Silver Tips,Vietnamese Silver Needle,green,Shan Tuyet,,low,,,Vietnam,,,"cloudy; pale white‑wine yellow; light, golden peachy yellow",smoky; sweet; vegetal,complex; honeydew melon; cedar; smoky; vegetal; bitter; slightly marine; spicy; slightly sweet,light‑to‑medium body,alerting,"withered, medium, greenish‑gray leaves with silvery tips",smoky; woody; cedar; vegetal; marine; spicy; peppery; mist; dried grass,"medium‑to‑large, olive‑green leaves with red‑brown accents",effervescent; vegetal; cedar; smoky; fruity; peach; grape; marine; vinegar
Vietnamese Wild Black,,black,Shan Tuyet,,high,,,Vietnam,Ha Giang,,deep amber red; dark reddish‑brown,hibiscus; woody; spicy; sweet; salty; leathery; buttery,spicy; peppery; salty; sweet; woody; smoked cedar,medium body; some astringency,comforting; energizing,"twisted, small‑to‑medium, dark brown to black leaves",woody; spicy; peppery; paprika; sweet; invigorating,brown leaves and twigs with hints of green,spicy; fruity; muscat grape; smoky; leather; cedar
Wei Shan Huang Cha,Weishan Yellow Tea,yellow,Bai Hao Zao,,low,,,China,,,pale moonlight yellow; some hairs,sweet; floral; pine; effervescent,green bean; pine,light‑to‑medium body; effervescent; slightly astringent,calming,"small‑to‑medium, thinner, withered, dull brown‑gray leaves with silvery down",fresh hay; lemon zest; sweet; floral,yellow‑green bud‑leaf pairs,sweet; pine; floral; effervescent
Wu Liang Mao Feng Black Tea,Hong Mao Feng; Wu Liang Hong Mao Feng,black,Yun Kang #10; Yun Kang #32; Da Ye,"brief fermentation, then black tea processing",high,,,China,"Yunnan, Wu Liang Mountains",,ale-like orange-brown; cloudy,sweet; caramel; butternut squash; caramelized apple; s’mores,butternut squash; caramel; milk chocolate; fruity; apple,medium body; smooth,"relaxing, warming;  comforting","medium-sized, withered, fuzzy, brown and golden‑yellow leaves",hay; butternut squash; sweet potato; caramel; chocolate; tomato soup,olive brown with reddish accents,butternut squash; fruity; cocoa powder; caramelized sweet potato
Wuyuan Zi Mei,Zi Mei Green Tea,green,Wuyuan Qunti Zhong,,low,,,China,Jiangxi,,clear; light golden yellow,sweet; vegetal; almond; pear; effervescent,vegetal; lightly marine; herbaceous; hazelnut; sunflower seed; salty; sweet; watermelon rind; pear; almond,light‑to‑medium body,calming,"medium, straight, thin, dark‑green leaves with light‑green accents",fresh; vegetal; slightly marine; almond; pear; fruity,"plumper, vibrant, yellow‑green leaves",sweet; vegetal; almond; pear; effervescent
Xing Ren Xiang Dan Cong,Almond Aroma Dan Cong,oolong,Xing Ren Xiang,,medium,A Phoenix Dan Cong cultivar known for its almond‑like fragrance. Part of the long‑preserved single‑bush Dan Cong tradition of Guangdong.,Fenghuang Dan Cong Cultural Office; Guangdong Tea Records,China,"Guangdong, Phoenix Mountains, Wudong Shan",,clear; peachy yellow; light golden yellow with orange tint,apricot; buttery; sweet almond; fruity; poached pears; apple; caramel,slightly sweet; sour; almond; apricot; strawberry; toasted almond; pine; fruity; apple; pear; pineapple; apricot; honeysuckle,light‑to‑medium body; syrupy,alerting,"short, withered, dark, blackish‑brown leaves",woody; nutty; sweet; almond; fresh; fruity; apple; apricot; pear; juicy; hay,"half red‑brown, half forest‑green torn leaves",sugar cane; almond; effervescent; apricot; intensely fruity; pineapple; floral; hibiscus; muscat grape; honeysuckle
Xinyang Mao Jian,Furry Tips; Pale Tips,green,Xinyang Qunti Zhong,,low,"Top 10 tea of China. Praised since the Tang dynasty for its slender, sharp leaves and produced in the misty mountains of Henan.",China Tea Marketing Association; Henan Provincial Tea Records,China,"Henan, Xinyang Township, Qinling Mountain",,very cloudy; pale yellow; citrine; canary yellow,grass; pine; butter; sweet; fruity; passionfruit; marine; toast; pastry,asparagus; green beans; bittersweet; fruity; passionfruit; artichoke; white wine,thick; effervescent,calming; stimulating,"short, thin, withered, dark‑green and silvery leaves",fresh hay; grass; milk chocolate; comforting; effervescent; vegetal,"plumper, lighter green leaves",buttery; vegetal; intensely fruity; passionfruit; sweet; effervescent; floral; marine
Ya Shi Xiang,Duck Shit Oolong; Lao Ya Shi Xiang; Ya Shi Dan Cong,oolong,Ya Shi,,medium,"A Phoenix Dan Cong cultivar with a well‑known naming legend. Growers in Fenghuang described the unusually fertile, yellowish soil around these bushes as ""duck‑shit earth"". To prevent outsiders from taking cuttings, they gave the tea the unappealing name ""Duck Shit Aroma"", which eventually became its recognized cultivar name.",Guangdong Intangible Cultural Heritage Registry; Fenghuang Village Oral Histories,China,"Guangdong, Wudong (Phoenix Mountain)",,warm sunset orange; golden orange-yellow; mostly clear,buttery; creamy; nectarine; peach; cherry; lightly sweet; raw pumpkin,buttery; fruity; nectarine; peach; cherry; pineapple; almond pastry; sweet,light-to-medium body; silky; slightly astringent,,"long, withered, dark, blackish‑brown leaves",woody; nectarine; juicy; fresh; acidic; tobacco; unsweetened cocoa; cherry; brown sugar,"long, olive-green and dark brown leaves",effervescent; woody; fruity; nectarine; cherry; pineapple; buttery pastry; antique wood
Ye Sheng Hong Cha,Wild Tree Black Tea; Ye Sheng Black Tea,black,Ye Sheng,,medium,,,China,"Yunnan, Lincang, Fengqing",,clear; root beer brown,fruity; chocolate; barrel‑aged rum; woody; sweet butter,fruit; chocolate; rum; starchy; potato chips; woody; watermelon,light‑to‑medium body,stimulating,"long, withered, black‑brown leaves with muddy brown accents",sweet; roasted; raisin; watermelon; butternut squash; corn husk; woody,mud-brown to olive‑green leaves,tobacco; effervescent; fruity; sweet; date; plum
You Hua Xiang Dan Cong,Pomelo and Flower Aroma Dan Cong,oolong,You Hua Xiang,,medium,A Dan Cong cultivar valued for its citrus‑floral fragrance. Part of the Phoenix Mountain single‑bush heritage.,Fenghuang Dan Cong Cultural Office; Guangdong Tea Records,China,"Guangdong, Raoping, Fenghuang, Tou She Village",,"golden, slightly orange; warm, vibrant orange‑yellow",butter; cream; osmanthus,complex; refined; fruity; floral; osmanthus; bright; pomelo; salty,medium‑to‑heavy body; syrupy,uplifting,"long, withered leaves, yellow‑green to dark black‑green with brown accents",pomelo; floral; citrus; cayenne pepper,grass-green with red‑brown edges,intensely pomelo; fruity; milky; floral; osmanthus; fresh
Yi Mei Ren,Yi Minority Beauty,black,Yunnan Da Ye Zhong; Wu Liang Qunti Zhong,,medium,"A modern Yunnan tea named to honor the Yi ethnic minority. ""Mei Ren"" (""Beauty"") follows the naming style of teas like Oriental Beauty, emphasizing elegance and regional cultural identity.",Yunnan Minzu University Ethnic Tea Culture Studies; Pu’er Prefecture Tea Records,China,"Yunnan, Wu Liang Mountain",,clear; deep gold with red tinges; amber; coppery sunshine orange,chocolate; gingerbread; tree bark; orange,bittersweet chocolate; juicy; sweet; sour cherry; sugar cane; chocolate orange; orchid,medium body; juicy,comforting,"long, thin, twisted, black leaves with brown patches and golden tips",sweet chocolate; fruity; molasses,brown leaves,chocolate; gingerbread; sour cherry; toasted pecan
Yunnan Black Gold,Dian Hong Black Gold; Yunnan Gold Buds,black,Yunnan Da Ye Zhong; Fengqing Da Ye,,medium,,,China,"Yunnan, Simao, Zhenyuan",,bright medium amber; cola brown,malty; brown sugar; woody; floral,brown sugar; lightly sweet; woody,light‑to‑medium body,calming,"long, withered, dark, blackish‑brown leaves with bright yellow‑orange tips",woody; sweet; effervescent; stone fruit; plum; floral; rose,"glossy, mud-brown leaves",woody; effervescent; fruity; plum
Yunnan Mao Feng Green Tea,Yunnan Mao Feng,green,Yunnan Da Ye Zhong,,low,,,China,"Yunnan, Simao (Yin Pan Mountain)",,cloudy; pale silvery yellow-green,sweet; vegetal; tomato soup; asparagus,vegetal; smoky; tomato soup; sweet grass; green bean; slightly sweet,medium body; smooth,refreshing,"medium‑to‑long, wavy, darker green leaves with silvery down",fresh; sweet hay; barn,"various greens, reds, and browns",buttery; sweet; vegetal; artichoke; asparagus; nutty; fruity; peach
Yunnan Snow Dragon White Tea,"Snow Dragon, Snow Dragon White, Yunnan Snow Dragon",white,Yunnan Da Ye Zhong; Jinggu Da Bai,hand‑rolled,low,,,China,Yunnan,,"light green; soft, clear moonlight yellow",very floral; sweet; vegetal; green beans; asparagus,sweet; fruity; vegetal; green bean; juicy,medium body; smooth; juicy,relaxing,"long, spiral-shaped, deep green buds covered with silver down",spicy; black pepper; smoky; laser‑cut wood; vegetal; asparagus,pea‑green buds,sweet; effervescent; vegetal; green bean; asparagus
Zheng Shan Xiao Zhong,Lapsang Souchong,black,Wuyi Qunti Zhong,,high,One of the earliest known black teas originating in Tongmu Village. Historically smoked over pinewood. Central to the development of the global black‑tea trade.,Tongmu Tea Cooperative; Wuyishan Tea Research Institute,China,"Fujian, Wuyi Mountains, Tong Mu Guan Village",,deep red‑gold; orange sunset; bright amber,fruity; peach; sweet; cinnamon; nutmeg; allspice; brown sugar; caramel; woody; butter; milk chocolate; guava,sweet; fruity; slightly bitter; apple; bright; nectarine; peach; apricot; floral; cinnamon; nutmeg; allspice; honey,medium body; juicy; no astringency,stimulating; comforting,"medium‑to‑long, twisted, thin, twiggy, brownish‑black leaves",dark chocolate; fresh hay; caramel; raisin; clove; nutmeg; effervescent; woody; brownie,"thin, brown-black leaves",tobacco; peaches; apple cider; effervescent; milk chocolate; woody; guava; blueberry muffin; sugar cane; fruity
Zhi Hong Pao,Purple Robe,oolong,Wuyi Qunti Zhong,,medium,A Wuyi rock tea whose name refers to the purplish hue of its leaves and echoes the naming style of Da Hong Pao. Part of Wuyi’s traditional cultivar set.,Fujian Wuyi Tea Bureau; Wuyi Rock Tea Varietal Records,China,"Fujian, Wuyishan City",,cloudy; leather brown,butter; grapes; sweet; fruity; woody; golden raisins,sweet; nectarine; woody; caramel; cinnamon roll; Roman nougat; blackberry; raspberry; cocoa powder,medium‑to‑heavy body; syrupy; juicy,warming,"medium‑to‑large, withered, dark‑gray to blackish‑brown leaves",roasted; sweet; nectarine; nougat; woody; smoky,"glossy, dark brown leaves",effervescent; tobacco; fruity; cherry; raspberry; sweet; turbinado sugar; caramel
Zhu Ye Qing,Bamboo Leaf Green; Emei Zhu Ye Qing,green,Emei Qunti Zhong,,low,"A modern Sichuan green tea created in the 1960s. Named ""Bamboo Leaf Green"" for its slender shape and bright color. A signature tea of Mount Emei.",Sichuan Tea History (Sichuan Provincial Museum); Emei Mountain Tea Records,China,"Yunnan, Simao",,golden antiqued yellow; cloudy with particles,intensely vegetal; sweet; starchy; sweet potato; butternut squash; grilled zucchini; corn,slightly sour; vegetal; grilled zucchini; corn; artichoke,heavy body,alerting,"small‑to‑medium, curved, forest‑green buds with whitish accents",strongly vegetal; bright; pea; effervescent; pine; slightly smoky; spicy; paprika,"light, bright green leaves",pea; green bean; sour; starchy; potato; acrid
Zi Cha Hong Cha,Purple Needle; Purple Needle Black Tea; Jingmai Purple Needle; Zi Cha Black Tea,black,Zi Cha,,high,,,China,"Yunnan, Simao, Lancang, Jingmai Mountains",,deep red‑orange with hints of purple; amber brown; slightly cloudy,floral; grapefruit; sugar cane; nougat; butter; fruity; muscat grape; watermelon rind,citrus; fruity; sweet; vibrant; malty; muscat grape; woody; watermelon rind,medium body; hui gan,relaxing,"long, thin, twisted, black leaves with golden accents",floral; fruity; muscat grape; watermelon; rose,"long, mud-brown and olive-green leaves",intensely fruity' muscat grape; effervescent
Zi Juan Hong Cha,Jingmai Purple Beauty Black; Purple Beauty Black; Zi Juan Black,black,Zi Juan,,high,,,China,"Yunnan, Simao, Lancang, Jingmai",,deep orange‑red,floral; nectar; vanilla; honey; mineral,vanilla; honey; mineral; bittersweet,smooth; light body,energizing,"small‑to‑long, withered, blackish‑brown leaves with golden tips",unspecified,unspecified,unspecified
